Designator,Mid X,Mid Y,Rotation,Layer
A1,125.0,-100.25,270.0,top
C1,127.5,-88.0,0.0,top
C2,112.75,-100.75,270.0,top
C3,115.0,-94.0,60.0,top
C4,110.0,-95.25,240.0,top
C5,134.3,-109.35,120.0,top
C6,130.4,-114.75,210.0,top
C7,134.5,-94.0,0.0,top
C8,113.2,-89.55,240.0,top
D1,125.0,-116.5,0.0,top
D2,110.927087,-92.125,240.0,top
D3,139.072913,-92.125,120.0,top
H1,125.0,-84.0,0.0,top
H2,139.072913,-108.375,0.0,top
H3,110.927087,-108.375,0.0,top
J1,118.0,-112.75,330.0,top
J2,113.261026,-93.47249973580836,120.0,bottom
Q1,117.75,-87.5,30.0,top
R1,118.25,-89.75,210.0,top
R2,120.75,-87.5,120.0,top
R3,119.75,-85.75,120.0,top
R4,131.75,-113.25,120.0,top
U1,128.1,-113.05,135.0,top
U2,133.75,-111.5,210.0,top
