Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,10nF,C1710
"C2, C5",0805,2,10uF,C15850
C3,0805,1,1uF,C28323
"D1, D2",D_SOD-123,2,1N4148W,C81598
"H1, H2",MountingHole_2.5mm_Pad,2,MountingHole_Pad,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
Q1,SOT-23,1,SI2301CDS-T1-GE3,C10487
Q2,SOT-23,1,MMBT5551L,C2145
Q3,SOT-23,1,AS2302,C20917
"R1, R6",0805,2,1K,C17513
R11,0805,1,0,C17477
"R2, R3, R4, R7, R8",0805,5,100K,C149504
"R5, R9",0805,2,10K,C17414
RV1,Potentiometer_Piher_PT-6-V_Vertical,1,1M,
RV2,Potentiometer_Bourns_TC33X_Vertical,1,500K,C128558
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555D,C7593
