Designator,Mid X,Mid Y,Rotation,Layer
C1,174.498,-99.568,0.0,top
C2,168.402,-107.188,0.0,top
C3,165.608,-96.266,90.0,top
C4,167.64,-96.266,90.0,top
C5,171.196,-100.899,270.0,top
D1,175.006,-106.426,0.0,top
D2,156.464,-94.996,0.0,top
J1,158.225,-118.05,90.0,top
J2,173.465,-118.05,90.0,top
J3,158.115,-90.805,180.0,top
Q1,168.402,-112.014,0.0,top
Q2,173.99,-103.251,90.0,top
Q3,157.8125,-99.314,180.0,top
R1,163.322,-112.014,90.0,top
R11,156.972,-103.505,180.0,top
R2,165.354,-112.014,90.0,top
R3,168.402,-109.286,180.0,top
R4,172.974,-92.202,180.0,top
R5,163.576,-96.266,90.0,top
R6,171.196,-105.664,90.0,top
R7,176.784,-102.235,270.0,top
R8,165.608,-106.172,90.0,top
R9,160.8195,-99.3515,90.0,top
RV1,168.87,-104.989,0.0,bottom
RV2,167.386,-102.489,0.0,top
U1,172.974,-95.885,0.0,top
