Designator,Mid X,Mid Y,Rotation,Layer
C1,147.699349,-107.0102,0.0,top
C10,138.684,-109.601,0.0,top
C11,137.922,-92.456,270.0,top
C12,138.938,-92.456,90.0,top
C13,140.589,-103.251,90.0,top
C14,140.335,-92.456,90.0,top
C15,138.938,-89.789,270.0,top
C2,144.653,-103.251,270.0,top
C3,145.669,-103.251,270.0,top
C4,141.605,-92.456,90.0,top
C5,134.189851,-107.061,180.0,top
C6,137.541,-103.251,270.0,top
C7,136.525,-103.251,270.0,top
C8,141.605,-103.251,90.0,top
C9,143.411,-109.601,0.0,top
FB1,142.296,-106.68,270.0,top
FB2,139.756,-106.68,270.0,top
J1,138.43,-115.5245,0.0,top
J2,132.224,-92.222,270.0,top
J3,137.541,-82.601,270.0,top
J4,151.186,-81.28,180.0,top
J5,150.639,-96.413,270.0,top
R1,143.002,-89.027,270.0,top
R10,140.462,-89.281,0.0,top
R2,136.835,-92.456,270.0,top
R3,149.281,-91.059,180.0,top
R4,145.288,-92.456,270.0,top
R5,144.272,-92.456,270.0,top
R6,149.281,-92.048,180.0,top
R7,146.304,-92.454,90.0,top
R8,143.256,-92.456,90.0,top
R9,140.462,-90.297,180.0,top
U1,141.097,-97.734,270.0,top
