Designator,Mid X,Mid Y,Rotation,Layer
C1,138.43,-78.486,0.0,top
C2,138.43,-81.788,0.0,top
C3,138.43,-85.09,0.0,top
C4,138.684,-87.503,0.0,top
C5,141.732,-91.44,90.0,top
C6,148.082,-91.44,180.0,top
C7,148.082,-94.742,180.0,top
C8,139.192,-95.504,90.0,top
J1,130.302,-85.13,270.0,top
J2,155.702,-88.9,90.0,top
L1,146.304,-86.106,0.0,top
R1,136.144,-95.504,90.0,top
R2,137.668,-95.504,270.0,top
R3,140.716,-95.504,90.0,top
R4,142.24,-95.504,270.0,top
R5,143.764,-95.504,90.0,top
U1,138.684,-91.186,270.0,top
