Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0402,3,1uF,C1518208
"C10, C9",0402,2,0.47uF,C437527
"C11, C12, C15, C8",0402,4,1nF,C106205
"C13, C6",CP_Radial_D8.0mm_P3.50mm,2,100uF,C112510
"C14, C7",0402,2,100nF,C105882
"C16, C17, C18",1210,3,10µF,C380537
"C19, C20",0603,2,0.1µF,C77055
"C2, C3",0402,2,0.68uF,C113784
C21,0603,1,150pF,C527999
"C22, C23",1210,2,47µF,C77101
"FB1, FB2",1206,2,120Ohm@100MHz,C3011219
J15,PinSocket_1x06_P2.54mm_Vertical,1,RC_Signal,
J18,PinSocket_1x06_P2.54mm_Vertical,1,RC_5v,
J19,JST_XH_B3B-XH-A_1x03_P2.54mm_Vertical,1,M5 SCL,
J21,PinSocket_1x06_P2.54mm_Vertical,1,RC_GND,
L1,L_Sunlord_MWSA0603S,1,10µH,C132141
"Q1, Q2",SOT-23,2,2N7002,C8545
"R1, R12, R13, R17, R18, R8, R9",0402,7,100k,C60491
"R10, R11, R14",0402,3,0,C17168
R15,0603,1,10R,C22859
"R16, R5, R6",0402,3,1k,C11702
"R2, R4",0402,2,4.7k,C25900
R21,0603,1,100kΩ 1%,C25803
"R22, R3, R7",0603,3,13.3kΩ 1%,C25952
R23,0603,1,240Ω 1%,C23350
U1,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATtiny1616-M,C507118
U3,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias,1,TPA3110D2,C30132
U4,SOT-23-6,1,TPS54302,C311983
