Designator,Mid X,Mid Y,Rotation,Layer
_3,-4.191,3.5306,0.0,top
C1,151.6354,-101.0412,0.0,bottom
C2,151.1808,-95.3262,0.0,bottom
C3,153.9364,-95.4786,180.0,bottom
C4,156.9212,-97.4344,180.0,bottom
D1,135.3566,-105.3338,0.0,top
J1,149.9616,-110.0582,0.0,top
J10,162.2,-88.5,0.0,top
J11,170.7,-88.5,0.0,top
J12,173.2,-96.4,180.0,top
J13,164.8,-103.3,180.0,top
J14,173.3,-103.3,180.0,top
J15,173.3,-110.2,180.0,top
J5,155.25,-91.2,90.0,top
J6,148.35,-91.2,90.0,top
J7,141.45,-91.2,90.0,top
J8,164.7,-96.4,180.0,top
J9,134.55,-91.2,90.0,top
R1,143.5862,-101.7016,0.0,bottom
U1,147.92,-98.72,180.0,bottom
Y1,153.5,-98.46,180.0,bottom
