Designator,Mid X,Mid Y,Rotation,Layer
C1,133.985,-78.74,180.0,top
C2,133.985,-85.725,180.0,top
C3,133.985,-93.345,180.0,top
J1,128.143,-93.44,90.0,top
J2,128.27,-83.28,90.0,top
J3,128.27,-72.93,90.0,top
J4,159.92,-74.58,0.0,top
J5,166.0,-84.475,0.0,top
J6,151.5,-93.275,270.0,top
J7,151.5,-83.75,270.0,top
J8,151.5,-73.75,270.0,top
Q1,140.716,-93.98,180.0,top
Q2,140.9475,-87.55,180.0,top
Q3,141.0,-81.01,180.0,top
R1,133.985,-77.47,0.0,top
R10,146.01,-87.5,90.0,top
R11,136.525,-78.49,90.0,top
R12,146.0,-80.5,90.0,top
R13,161.925,-92.075,270.0,top
R14,161.925,-95.25,270.0,top
R2,133.985,-84.455,0.0,top
R3,133.985,-92.075,0.0,top
R7,136.525,-91.44,90.0,top
R8,145.5,-93.0,270.0,top
R9,136.525,-85.09,90.0,top
