Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0402,3,100nF,C307331
C3,0402,1,10uF,C315248
"D1, D2",0603,2,LED_Small,C965799
"H1, H3, H4",MountingHole_2.7mm_M2.5,3,MountingHole,
J1,RJHSE3085a,1,8P8C,
"J2, J3",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,2,Conn_01x04_Male,C7433440
"J5, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02_Male,
J7,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,1,Conn_01x05_Pin,C2845373
R1,0402,1,10K,C2906861
"R2, R3",0402,2,470,C2909361
SW1,SON4_PTS526 SM15 SMTR2 LFS_CNK,1,PTS526 SM15 SMTR2 LFS,C49234134
U1,STM32G031G8U6,1,STM32G031F4Px,C432211
Y1,OSC_ECS-3225MVQ-160-BP-TR,1,ECS-3225MVQ-160-BP-TR,C252336
