Designator,Mid X,Mid Y,Rotation,Layer
C1,147.234,-77.42,90.0,top
C2,148.484,-77.42,90.0,top
C3,149.734,-77.44,90.0,top
C4,152.234,-83.17,180.0,top
D1,141.25,-78.5375,90.0,top
D2,165.25,-80.5,90.0,top
J1,170.8475,-100.07,90.0,top
J2,129.95,-105.8,90.0,top
J3,133.25,-93.75,90.0,top
J5,154.475,-117.5,90.0,top
J6,144.975,-117.5,90.0,top
J7,135.925,-105.3,90.0,top
R1,152.234,-84.67,0.0,top
R2,143.0,-78.7875,270.0,top
R3,163.5,-80.25,270.0,top
SW1,137.319651,-84.099999,0.0,top
U1,147.984,-81.92,270.0,top
Y1,152.984,-80.17,90.0,top
