Designator,Mid X,Mid Y,Rotation,Layer
C1,146.19224,-93.07322,270.0,top
C2,148.48586,-92.99448,270.0,top
C3,147.5105,-88.38946,90.0,top
C4,155.98902,-88.36406,270.0,top
D1,164.338,-87.376,90.0,top
J1,150.19328,-107.27652,0.0,top
J10,176.022,-107.422,90.0,top
J2,136.906,-98.9076,0.0,top
J3,136.9314,-104.4702,0.0,top
J5,162.2,-99.3,90.0,top
J6,169.118,-102.704,90.0,top
J7,176.022,-90.404,90.0,top
J8,169.118,-94.204,90.0,top
J9,176.022,-98.904,90.0,top
R1,146.304,-96.93148,180.0,top
R2,150.4823,-96.93656,180.0,top
R3,162.56,-87.376,270.0,top
U1,152.73782,-92.63126,0.0,top
Y1,152.12822,-87.89162,180.0,top
