Designator,Mid X,Mid Y,Rotation,Layer
C104,81.8,19.0,0.0,top
C201,53.825,35.4,0.0,top
C202,53.825,33.9,0.0,top
C203,57.3,38.42,180.0,top
C204,58.0,40.4,0.0,top
C205,61.1,40.7,90.0,top
C206,60.3,38.4125,0.0,top
C207,67.067677,9.5,180.0,top
C208,67.067677,-9.5,180.0,top
C301,53.5,-3.6,0.0,top
C302,53.5,-5.1,0.0,top
C303,56.7,-0.5,180.0,top
C304,56.6,1.5,0.0,top
C305,59.7,1.8,90.0,top
C306,59.7,-0.5,0.0,top
C307,67.067677,43.5,180.0,top
C308,67.067677,24.5,180.0,top
C401,53.8,-32.2,0.0,top
C402,53.8,-33.7,0.0,top
C403,57.3,-29.2,180.0,top
C404,58.0,-27.2,0.0,top
C405,61.1,-26.9,90.0,top
C406,60.3,-29.2,0.0,top
C407,67.067677,-24.5,180.0,top
C408,67.067677,-43.5,180.0,top
D101,53.1,-15.2,90.0,top
D102,53.1,-18.7,90.0,top
D103,53.1,-22.2,90.0,top
D104,53.1,-11.7,270.0,top
FID101,59.0,48.0,0.0,top
FID102,91.0,48.0,0.0,top
FID103,91.0,-48.0,0.0,top
J101,89.7,17.8,90.0,top
J102,89.6675,-16.25,90.0,top
J103,56.355,17.02,0.0,top
J104,89.6675,34.75,90.0,top
J105,89.6675,0.75,90.0,top
J106,89.6675,-33.25,90.0,top
Q101,57.6,-15.2,0.0,top
Q102,57.6,-18.7,0.0,top
Q103,57.6,-22.2,0.0,top
Q104,57.6,-11.7,0.0,top
Q201,77.5,44.5,180.0,top
Q202,77.5,37.5,0.0,top
Q203,77.5,23.5,180.0,top
Q204,77.5,30.5,0.0,top
Q301,77.5,10.5,180.0,top
Q302,77.5,3.5,0.0,top
Q303,77.5,-10.5,180.0,top
Q304,77.5,-3.5,0.0,top
Q401,77.5,-23.5,180.0,top
Q402,77.5,-30.5,0.0,top
Q403,77.5,-44.5,180.0,top
Q404,77.5,-37.5,0.0,top
R102,64.0,17.0,270.0,top
R104,62.0,17.0,270.0,top
R106,54.8,-15.2,90.0,top
R107,60.6,-15.2,270.0,top
R108,60.6,-18.7,270.0,top
R109,54.8,-18.7,90.0,top
R110,60.6,-22.2,270.0,top
R111,54.8,-22.2,90.0,top
R112,60.6,-11.7,270.0,top
R113,54.8,-11.7,270.0,top
R201,53.825,38.4,180.0,top
R202,51.525,37.675,270.0,top
R205,51.525,34.5875,270.0,top
R206,68.5,34.0,180.0,top
R301,53.5,-0.6125,180.0,top
R302,51.2,-1.3,270.0,top
R305,51.2,-4.4,270.0,top
R306,68.5,0.0,180.0,top
R401,53.8,-29.2,180.0,top
R402,51.5,-29.9,270.0,top
R405,51.5,-33.0,270.0,top
R406,68.5,-34.0,180.0,top
U102,82.0,17.0,180.0,top
U201,59.0,34.0,270.0,top
U301,59.0,-5.0,270.0,top
U401,58.8,-33.8,270.0,top
