Designator,Mid X,Mid Y,Rotation,Layer
C1,131.0146,-103.1682,90.0,top
C10,129.3636,-89.7062,270.0,top
C11,126.5416,-83.3562,180.0,top
C12,131.2686,-83.3562,180.0,top
C13,136.8345,-84.824448,45.0,top
C14,132.4116,-89.7062,90.0,top
C15,133.4276,-89.7062,90.0,top
C16,135.23,-154.152,90.0,top
C17,128.626,-154.152,90.0,top
C18,131.928,-154.152,90.0,top
C19,137.643,-153.898,90.0,top
C2,132.15,-100.5012,90.0,top
C20,141.58,-150.85,180.0,top
C21,145.644,-153.39,180.0,top
C22,144.882,-144.5,270.0,top
C23,141.58,-144.5,270.0,top
C3,131.0146,-100.5012,270.0,top
C4,128.3476,-100.5012,270.0,top
C5,129.6176,-100.5012,270.0,top
C6,120.503251,-85.947,180.0,top
C7,125.2996,-89.7062,90.0,top
C8,124.2836,-89.7062,90.0,top
C9,128.3476,-89.7062,270.0,top
FB1,127.6566,-86.2772,90.0,top
FB2,130.1966,-86.2772,90.0,top
J1,113.2,-80.46,180.0,top
J10,172.45,-90.0,0.0,top
J11,126.4712,-115.585,180.0,top
J12,133.46,-131.13,90.0,top
J13,150.67,-75.03,90.0,top
J14,165.26832,-77.38168,180.0,top
J15,149.0,-112.35,0.0,top
J16,171.61,-115.45,0.0,top
J17,170.8,-147.775,0.0,top
J18,151.54,-112.35,0.0,top
J19,171.61,-129.975,0.0,top
J2,113.2,-100.86,180.0,top
J20,171.61,-139.5,0.0,top
J21,154.08,-112.35,0.0,top
J22,127.559328,-76.440672,45.0,top
J3,113.2,-121.26,180.0,top
J4,117.759328,-145.440672,45.0,top
J5,158.15,-148.26,0.0,top
J7,164.5,-149.53,0.0,top
J8,172.55,-97.8,0.0,top
J9,151.8,-149.53,0.0,top
L1,136.246,-146.278,90.0,top
Q1,171.2,-104.7,180.0,top
Q2,176.3,-81.6,90.0,top
R1,173.8,-104.4,270.0,top
R11,129.4906,-102.6602,0.0,top
R14,126.6966,-100.5012,270.0,top
R15,126.9506,-103.9302,90.0,top
R16,120.6716,-100.9092,0.0,top
R17,120.6716,-101.8982,0.0,top
R18,133.27,-100.5012,90.0,top
R2,160.6,-154.2,270.0,top
R21,145.644,-151.866,180.0,top
R22,145.644,-154.914,0.0,top
R23,145.644,-156.438,180.0,top
R3,178.6,-102.8,0.0,top
R4,158.9,-154.2,270.0,top
R5,171.0,-102.5,180.0,top
R6,179.6,-81.8,90.0,top
R7,178.8,-83.6,180.0,top
R8,175.8,-84.89,0.0,top
R9,124.6646,-100.5012,90.0,top
U1,123.9,-130.68,180.0,top
U2,151.725,-113.2,0.0,top
U3,128.8556,-95.2232,0.0,top
U4,141.326,-153.898,180.0,top
