Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0805,3,100nF,C49678
C3,0805,1,10uF,C15850
D1,0603,1,LED_Small,C2286
J1,RJ45_x08_Tab_Up,1,8P8C,
"J2, J3",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,2,Conn_01x04_Male,C7433440
"R1, R2",0805,2,10K,C17414
R3,0603,1,470,C23179
U1,STM32G031G8U6,1,STM32G031F4Px,C432211
Y1,OSC_ECS-3225MVQ-160-BP-TR,1,ECS-3225MVQ-160-BP-TR,C252336
"J10, J6, J7, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,5,Conn_01x02_Male,
J4,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,TagConnect_TC2030-NL,
J5,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05_Male,
