Designator,Mid X,Mid Y,Rotation,Layer
C1,144.78,-87.376,0.0,top
C10,148.082,-90.678,90.0,top
C11,148.435,-96.012,180.0,top
C12,135.89,-119.888,270.0,top
C13,131.064,-111.76,180.0,top
C14,135.89,-117.856,90.0,top
C15,146.812,-87.63,90.0,top
C16,150.876,-96.012,180.0,top
C17,142.72,-101.092,180.0,top
C18,130.683,-99.977,270.0,top
C19,129.794,-100.965,270.0,top
C2,144.78,-88.392,0.0,top
C20,132.5372,-101.1682,90.0,top
C21,131.572,-99.977,90.0,top
C22,133.096,-95.631,0.0,top
C23,133.985,-106.934,0.0,top
C3,137.414,-123.67,90.0,top
C4,146.05,-122.71,270.0,top
C5,151.892,-111.76,0.0,top
C6,146.05,-117.856,90.0,top
C7,143.637,-96.266,270.0,top
C8,146.05,-119.888,270.0,top
C9,145.034,-97.536,0.0,top
F2,143.764,-111.252,180.0,top
J1,150.385,-119.38,270.0,top
J2,132.605,-119.38,270.0,top
J3,133.096,-91.55,0.0,top
Q1,140.97,-124.1044,180.0,top
R1,136.398,-123.698,90.0,top
R10,142.75,-99.695,180.0,top
R11,142.24,-98.044,90.0,top
R12,141.224,-98.552,90.0,top
R2,138.43,-123.698,90.0,top
R3,145.034,-122.68,90.0,top
R4,143.637,-98.044,90.0,top
R5,145.034,-98.552,0.0,top
R6,146.941,-97.536,0.0,top
R7,150.368,-89.916,0.0,top
R8,150.368,-88.392,0.0,top
U1,145.796,-93.218,0.0,top
U2,136.906,-100.076,90.0,top
U3,150.114,-93.792,180.0,top
