Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C16, C19, C2, C21, C23, C25, C3, C5, C9",0402,11,100nF,C307331
"C10, C11, C17, C20, C4",0402,5,10nF, C15195
C13,0603,1,10uF,C96446
"C14, C6",0805,2,22uF,C45783
"C15, C7, C8",0402,3,1uF,C52923
"C18, C22",0402,2,22nF,C1532
C24,CP_Elec_6.3x5.4,1,47uF, C3001213
F2,1210,1,1.5A,C22374902
"H1, H2",MountingHole_2.5mm_Pad,2,MountingHole_Pad,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Load,
Q1,SOT-23,1,SI2301CDS-T1-GE3,C10487
"R1, R17",0402,2,1k,C11702
"R10, R2, R3, R4, R5, R6, R7",0402,7,100k,C25741
"R11, R12, R13, R14",0402,4,10k,C25744
"R15, R8",0402,2,20k,C25765
R16,0402,1,27k,C25771
R9,0402,1,2.2k,C25879
RV1,Potentiometer_Bourns_TC33X_Vertical,1,100k,C128558
RV2,Potentiometer_Bourns_TC33X_Vertical,1,100k,C128545
U1,SOT-23,1,MAX809R,C19631717
U2,TSSOP-8_4.4x3mm_P0.65mm,1,NE555PWR,C105643
U3,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,LM393QT,C2970927
U4,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,1,DRV8876PWPR,C575551
