Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202",0603,2,15nF,C696363
C203,0603,1,150pF,C107038
C204,CP_Elec_8x10,1,68uF,C311667
"C205, C206, C208, C301, C302, C303, C409, C604, C704, C804, C904, C913",0805,12,10uF,C2932476
C207,0603,1,47nF,C1622
C209,0603,1,180pF,C107041
C210,0603,1,47pF,C513324
"C211, C212, C215, C217, C605, C705, C805",0603,7,100nF,C14663
"C213, C220, C221, C222, C223, C224, C225, C226, C227, C309, C310, C312, C313, C401, C402, C403, C411, C412, C416, C420, C424, C425, C430, C432, C434, C501, C502, C503, C504, C505, C511, C513, C515, C516, C521, C522, C523, C601, C602, C606, C701, C702, C706, C801, C802, C806, C923, C924, C938",0603,49,1uF,C5199872
"C214, C216, C218, C306",0805,4,22uF,C5677683
C219,CP_Elec_8x10,1,270uF,C133477
"C228, C229, C230, C231, C304, C305, C314, C315, C405, C406, C407, C408, C410, C413, C414, C415, C417, C418, C419, C421, C422, C423, C426, C427, C428, C429, C431, C433, C435, C506, C507, C508, C509, C510, C512, C514, C518, C519, C520, C524, C525, C526, C603, C703, C803, C901, C905, C906, C907, C908, C909, C914, C926, C933",0603,54,0.1uF,C14663
C307,0603,1,33pF,C1663
"C308, C311",1210,2,47uF,C7432791
"C404, C517",0805,2,4.7nF,C565695
"C607, C608, C707, C708, C807, C808",CP_Radial_D8.0mm_P3.50mm,6,100uF,C106559
"C902, C903, C910, C917, C918",CP_Elec_4x5.4,5,10uF,C72485
"C911, C912",0805,2,2.2uF,C19110
"C915, C916",0603,2,2.2nF,C77033
"C919, C920, C921, C922",1206,4,100nF,C97946
"C925, C932",CP_Radial_D6.3mm_P2.50mm,2,100uF,C47891
"C927, C928, C929, C930",1206,4,0.22uF,C464977
"C931, C934, C935, C936, C937, C939",0603,6,1nF,C77026
D101,D_SOD-123,1,1N4148W,C7420318
"D201, D202, D203",D_SOD-123F,3,K26,C2922179
"D204, D205, D502",SOT-23,3,12VRWM,C32677
"D301, D302, D404, D405, D501, D503, D504, D505, D506, D507, D508, D509, D510, D511, D512, D513, D514, D515, D516, D517, D518, D519",D_SOD-882,22,5VRWM,C110694
"D401, D402, D403",LED_WS2812B-2020_PLCC4_2.0x2.0mm,3,WS2812B-2020,C965555
F101,Keystone_3568,1,30A,C5249699
"FB901, FB902, FB903, FB904",1206,4,120Ohm@100MHz,C3011219
J103,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,JST XH,C161870
"J201, J202, J203, J204, J504",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,5,JST XH,C495547
J301,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,JST XH,C495685
J302,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,JST XH,C717172
J401,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB Micro-B,C397452
J403,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST SH,C160404
"J501, J502",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,2,JST XH,C161871
J505,JST_XH_B7B-XH-AM_1x07_P2.50mm_Vertical,1,JST XH,C161874
J509,JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical,1,JST XH,C161873
L201,L_APV_APH1265,1,3.3uH,C5349636
L301,1008,1,0.47uH,C5832368
L302,L_TechFuse_SL1050,1,4.7uH,C22463842
"Q201, Q202, Q601, Q602, Q603, Q604, Q701, Q702, Q703, Q704, Q801, Q802, Q803, Q804",PQFN-8-EP_6x5mm_P1.27mm_Generic,14,60V 45A,C41354975
"Q203, Q204",PQFN-8-EP_6x5mm_P1.27mm_Generic,2,30V 52A,C508835
"Q501, Q502, Q901, Q902",SOT-23,4,2N7002,C22446827
R101,1206,1,1.1kΩ,C137377
R201,0603,1,249kΩ,C22918
R202,0603,1,57.6kΩ,C23082
R203,0603,1,12.4kΩ,C22865
"R204, R418",0603,2,93.1kΩ,C23266
R205,0603,1,23.2kΩ,C23346
"R206, R207",0603,2,100Ω,C22775
R208,0603,1,2kΩ,C22975
"R209, R410, R909",0603,3,10Ω,C109318
"R210, R605, R705, R805",2512,4,8mΩ,C509729
"R211, R402, R507, R908",0603,4,280kΩ,C22970
R212,0603,1,20kΩ,C4184
"R213, R214, R215, R216, R403, R404, R405, R406, R407, R412, R417, R419, R420, R421, R422, R423, R424, R425, R426, R427, R428, R501, R502, R505, R506, R901, R902, R904, R907, R910",0603,30,10kΩ,C25804
R301,0603,1,510kΩ,C23192
R302,0603,1,162kΩ,C22815
R303,0603,1,100kΩ,C25803
R304,0603,1,19.1kΩ,C22897
"R305, R401, R503, R504, R802",0603,5,1kΩ,C21190
"R408, R409",0603,2,27Ω,C25190
"R413, R414, R601, R701, R801",0603,5,4.7kΩ,C23162
"R415, R416",0603,2,2.2kΩ,C4190
"R602, R702",0603,2,3.3kΩ,C22978
"R604, R704, R804",0603,3,200kΩ,C25811
"R903, R911",0603,2,5.11kΩ,C23067
"R905, R906",0603,2,470Ω,C23179
"SW401, SW402",SW_SPST_TS-1088-xR020,2,SPST,C720477
U201,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_ThermalVias,1,LM5176PWP,C442493
"U202, U203, U204",SOT-23-5,3,TMI6240,C2979914
U301,WSON-12-1EP_3x3mm_P0.5mm_EP1.5x2.5mm_ThermalVias,1,LMR51450SDRRR,C6890985
U302,RLT0007A,1,TLV62085,C477932
U401,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U402,SOT-23-6,1,USBLC6-2SC6,C7519
U403,SOT-23-5,1,TPS2065CDBVx-2,C2877795
U404,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
U405,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,AW9523B,C148077
U406,SOT-563,1,TMP102xxDRL,C99269
"U601, U701, U801",Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,3,DRV8701P,C114178
U901,TSSOP-28_4.4x9.7mm_P0.65mm,1,PCM5121PW,C2651652
U902,SOT-23-5,1,AP2127K-3.3,C156285
U903,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias,1,TPA3110D2,C30132
Y401,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,12MHz,C37635414
