Designator,Mid X,Mid Y,Rotation,Layer
C201,224.0,-153.5,180.0,top
C202,223.25,-155.8,270.0,top
C203,224.75,-155.8,270.0,top
C204,235.2,-144.0,0.0,top
C205,242.0,-144.7,90.0,top
C206,244.2,-144.7,90.0,top
C207,224.0,-150.5,180.0,top
C208,246.4,-144.7,90.0,top
C209,224.0,-152.0,180.0,top
C210,236.2,-158.5,270.0,top
C211,227.6,-151.5,270.0,bottom
C212,233.6,-150.8,90.0,bottom
C213,233.6,-154.3,90.0,bottom
C214,242.5,-159.1,90.0,top
C215,235.6,-150.3,90.0,top
C216,244.7,-159.1,90.0,top
C217,235.6,-155.3,270.0,top
C218,246.8425,-159.1,90.0,top
C219,231.3575,-163.8,0.0,top
C220,261.7,-164.5,0.0,top
C221,254.7,-164.5,0.0,top
C222,248.1,-164.5,0.0,top
C223,241.1,-164.5,0.0,top
C224,263.3,-170.3,180.0,top
C225,254.7,-170.3,0.0,top
C226,249.7,-170.3,180.0,top
C227,241.1,-170.3,0.0,top
C228,258.975,-175.3,270.0,bottom
C229,252.075,-175.2,270.0,bottom
C230,245.275,-175.3,270.0,bottom
C231,238.475,-175.2,270.0,bottom
C301,273.824999,-152.85,90.0,top
C302,275.924999,-152.85,90.0,top
C303,284.4,-168.7,270.0,top
C304,278.699999,-152.45,0.0,top
C305,283.4,-150.35,270.0,top
C306,284.8,-165.9,0.0,top
C307,272.575001,-147.875,0.0,bottom
C308,271.375,-157.6,90.0,top
C309,268.3,-165.8,0.0,top
C310,275.2,-165.8,0.0,top
C311,274.675,-157.6,90.0,top
C312,270.8,-168.2,270.0,top
C313,277.7,-168.2,270.0,top
C314,267.175,-175.3,270.0,bottom
C315,274.0,-175.3,270.0,bottom
C401,267.3,-126.7,225.0,bottom
C402,248.1,-131.1875,0.0,bottom
C403,237.584,-133.5275,90.0,bottom
C404,283.335,-131.495,270.0,top
C405,268.5,-125.5,45.0,bottom
C406,248.1,-132.7875,180.0,bottom
C407,239.184,-133.5275,270.0,bottom
C408,236.2625,-127.3125,90.0,bottom
C409,283.335,-138.095,90.0,top
C410,281.535,-138.095,270.0,top
C411,259.3,-134.8875,180.0,bottom
C412,262.3,-136.1875,90.0,top
C413,259.3,-128.4875,0.0,bottom
C414,255.4,-128.5875,270.0,bottom
C415,253.1,-130.8875,180.0,bottom
C416,231.585,-134.6625,180.0,bottom
C417,255.4,-134.7875,90.0,bottom
C418,231.57,-133.0625,0.0,bottom
C419,257.0,-134.7875,90.0,bottom
C420,231.57,-130.8125,180.0,bottom
C421,257.0,-128.5875,270.0,bottom
C422,231.57,-129.2125,0.0,bottom
C423,259.3,-131.6875,0.0,bottom
C424,231.57,-126.825,180.0,bottom
C425,259.3,-130.0875,180.0,bottom
C426,231.585,-125.225,0.0,bottom
C427,259.3,-133.2875,0.0,bottom
C428,253.1,-132.4875,180.0,bottom
C429,268.03,-137.09,180.0,bottom
C430,209.04,-133.99,270.0,top
C431,207.44,-133.99,90.0,top
C432,280.9,-146.0,90.0,top
C433,282.5,-146.0,270.0,top
C434,233.3,-90.51,180.0,bottom
C435,233.3,-92.11,0.0,bottom
C501,179.855,-121.275,180.0,bottom
C502,176.655,-121.275,180.0,bottom
C503,179.85,-114.475,180.0,bottom
C504,176.655,-114.475,180.0,bottom
C505,174.75,-127.625,180.0,bottom
C506,179.855,-119.675,0.0,bottom
C507,176.655,-119.675,0.0,bottom
C508,179.85,-112.875,0.0,bottom
C509,176.65,-112.875,0.0,bottom
C510,174.75,-129.225,0.0,bottom
C511,274.79,-116.134,270.0,bottom
C512,276.39,-116.134,90.0,bottom
C513,285.89,-121.734,270.0,bottom
C514,284.29,-121.734,90.0,bottom
C515,222.8,-142.2,180.0,top
C516,178.475,-97.4,0.0,bottom
C517,275.89,-127.829,0.0,bottom
C518,222.8,-124.4,0.0,top
C519,178.475,-95.7,180.0,bottom
C520,279.635,-84.1,270.0,bottom
C521,278.035,-87.3,270.0,bottom
C522,281.1,-106.55,90.0,bottom
C523,281.1,-103.45,270.0,bottom
C524,279.635,-87.3,90.0,bottom
C525,282.7,-106.55,270.0,bottom
C526,282.7,-103.45,90.0,bottom
C601,213.8125,-118.3,90.0,top
C602,215.3125,-118.3,90.0,top
