Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LED_1,
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Btn_5,
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Game_Select,
J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Game_Deactivate,
J13,PinSocket_1x02_P2.54mm_Vertical,1,Game_Other,
J14,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,ActionChallenge_Power,
J15,Adafruit_Max98357A_Breakout,1,Amp,
J16,PinHeader_1x04_P2.54mm_Vertical,1,Amp Breakout,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Btn_1,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LED_2,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Btn_2,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LED_3,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Btn_3,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LED_4,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Btn_4,
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LED_5,
RV1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Game_Volume,
U2,kb2040,1,kb2040,
