Designator,Mid X,Mid Y,Rotation,Layer
J1,106.75,-105.75,270.0,top
J10,151.5,-105.75,90.0,top
J11,155.85,-115.0,0.0,top
J12,146.85,-115.0,0.0,top
J13,145.0,-82.23,180.0,top
J14,112.25,-115.0,0.0,top
J15,129.62,-124.62,90.0,top
J16,125.81,-113.0,90.0,top
J2,113.75,-105.75,270.0,top
J3,106.75,-96.75,270.0,top
J4,113.75,-96.75,270.0,top
J5,120.5,-91.25,270.0,top
J6,144.5,-91.25,90.0,top
J7,158.5,-96.75,90.0,top
J8,151.5,-96.75,90.0,top
J9,158.5,-105.75,90.0,top
RV1,142.5,-125.0,90.0,top
U2,132.5,-93.27,0.0,top
