Designator,Mid X,Mid Y,Rotation,Layer
C1,214.312,-88.316,180.0,top
C2,210.608,-88.62,270.0,top
C3,211.328,-91.44,0.0,top
C4,210.439,-95.25,270.0,top
C5,215.28,-103.01,180.0,top
C6,215.265,-104.521,180.0,top
C7,214.63,-95.631,90.0,top
C8,200.34,-88.04,180.0,top
D1,202.81,-96.52,270.0,top
J1,199.39,-85.09,90.0,top
J2,217.17,-90.17,180.0,top
J5,217.17,-101.1428,0.0,top
J6,199.39,-113.03,90.0,top
Q1,203.454,-100.711,270.0,top
Q2,211.709,-108.712,90.0,top
Q3,207.899,-108.712,270.0,top
Q4,200.279,-108.712,90.0,top
Q5,200.279,-104.902,180.0,top
Q6,204.089,-104.902,180.0,top
R1,213.677,-89.84,270.0,top
R10,207.391,-103.632,90.0,top
R2,214.82,-89.84,90.0,top
R3,209.592,-88.62,90.0,top
R4,207.56,-88.62,90.0,top
R5,212.626,-88.61,270.0,top
R6,211.61,-88.61,90.0,top
R7,208.576,-88.62,90.0,top
R8,204.43,-97.79,270.0,top
R9,200.63,-98.76,180.0,top
U1,207.284,-92.715,180.0,top
