Designator,Footprint,Quantity,Value,LCSC Part #
"C104, C203, C205, C303, C305, C403, C405",0603,7,0.1uF,C14663
"C201, C202, C206, C301, C302, C306, C401, C402, C406",0603,9,1uF,C5199872
"C204, C304, C404",1206,3,10uF,C89632
"C207, C208, C307, C308, C407, C408",CP_Radial_D10.0mm_P5.00mm,6,220uF,C45105
D101,0603,1,YELLOW,C965802
D102,0603,1,ORANGE,C965800
D103,0603,1,RED,C965799
D104,0603,1,GREEN,C965804
"J101, J102, J104, J105, J106",TerminalBlock_WAGO_804-302_1x02_P7.50mm_45Degree,5,WAGO,804-302
J103,PinSocket_2x10_P2.54mm_Horizontal,1,2.54mm R/A,C2897430
"Q101, Q102, Q103",SOT-23,3,AO3401A,C347476
Q104,SOT-23,1,AO3400A,C347475
"Q201, Q202, Q203, Q204, Q301, Q302, Q303, Q304, Q401, Q402, Q403, Q404",PQFN-8-EP_6x5mm_P1.27mm_Generic,12,MOT6142G,C33129541
"R102, R104, R107, R108, R110, R112, R202, R302, R402",0603,9,4.7kΩ,C23162
"R106, R109, R111",0603,3,130Ω,C22796
R113,0603,1,56Ω,C25196
"R201, R301, R401",0603,3,2.7kΩ,C13167
"R205, R305, R405",0603,3,200kΩ,C25811
"R206, R306, R406",DSLR-M_K-3,3,5mΩ,C41382686
U102,SOT-563,1,TMP102xxDRL,C99269
"U201, U301, U401",Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,3,DRV8701P,C114178
